Ã¯Â»Â¿Record Id,Created Time,HSLP ordered at,Platform database ID (Agent),Display name,Property city,State (Agent),Closing date,Property Status,Property Status Updated,Closing Date is Wrong
zcrm_1781014000190834571,9/14/2022,9/15/2022,864,3605 Eagle Fledge Terace,Pflugerville,Texas,,,,false
zcrm_1781014000190671282,9/14/2022,9/14/2022,118932,2640 Hendrix Ave W,Lucas,Texas,,,,false
zcrm_1781014000190543196,9/13/2022,9/13/2022,323717,1609 County Road 3211,Naples,Texas,,,,false
zcrm_1781014000190269936,9/12/2022,9/12/2022,232823,2613 Sunburst Ln,Glenn Heights,Texas,,,,false
zcrm_1781014000190232218,9/12/2022,9/12/2022,3293,102 Ruelle Ln Unit 208-D,San Antonio,Texas,,,,false
zcrm_1781014000190229657,9/12/2022,9/13/2022,120160,6615 Bandera #2A,Dallas,Texas,,,,false
zcrm_1781014000189985453,9/10/2022,9/10/2022,236574,9101 trailwood dr,North Richland Hills,Texas,,,,false
zcrm_1781014000189965081,9/10/2022,9/10/2022,165309,134 Cedar Hill Loop,Lufkin,Texas,,,,false
zcrm_1781014000189955774,9/10/2022,9/12/2022,9484,1234 Luxury Street,Plano,Texas,,,,false
zcrm_1781014000189955654,9/10/2022,9/13/2022,81614,9 Barstow Ave,Towanda,Pennsylvania,,,,false
zcrm_1781014000189875239,9/9/2022,9/10/2022,96405,241 W Wellens Ave,Philadelphia,Pennsylvania,,,,false
zcrm_1781014000189875153,9/9/2022,9/12/2022,186061,1713 Flowing Path,San Antonio,Texas,,,,false
zcrm_1781014000189861614,9/9/2022,9/10/2022,173336,8229 Spitfire Tral,Aubrey,Texas,,,,false
zcrm_1781014000189779150,9/9/2022,9/9/2022,4588,9622 Hillview Drive,Dallas,Texas,,,,false
zcrm_1781014000189612494,9/8/2022,9/9/2022,365946,6133 FM 2415,Alvarado,Texas,,,,false
zcrm_1781014000189606208,9/8/2022,9/8/2022,122558,307 US HWY 271,Gilmer,Texas,,,,false
zcrm_1781014000189598526,9/8/2022,9/9/2022,3950,2535 Wedglea Drive #204,Dallas,Texas,,,,false
zcrm_1781014000189557549,9/8/2022,9/9/2022,297572,18407 CR 2341,Arp,Texas,,,,false
zcrm_1781014000189469428,9/8/2022,9/11/2022,211828,100 Gloria Ct,Dingmans Ferry,Pennsylvania,,,,false
zcrm_1781014000189362228,9/7/2022,9/12/2022,,101 Royal Ln,Commerce,,,,,false
zcrm_1781014000189344661,9/7/2022,9/7/2022,157676,5521 Los Patios,Midland,Texas,,,,false
zcrm_1781014000189320689,9/7/2022,9/7/2022,112956,"3335 Farm to Market Road 2518, Cleveland, TX 77327",Cleveland,Texas,,,,false
zcrm_1781014000189120640,9/7/2022,9/7/2022,349685,114 Mokolua Ln,Bastrop,Texas,,,,false
