Ã¯Â»Â¿Record Id,Created Time,HSLP ordered at,Platform database ID (Agent),Display name,Property city,State (Agent),Closing date,Property Status,Property Status Updated,Closing Date is Wrong,,
zcrm_1781014000169189661,6/28/2022,6/28/2022,75903,1110 Vanderbuilt Cir,Pflugerville,Texas,,,,false,,
zcrm_1781014000169184172,6/28/2022,6/28/2022,344787,576 Piney Groves School Rd,Marshall,Texas,,,,false,,
zcrm_1781014000169156244,6/28/2022,7/6/2022,4302,334 Ranch Gate Lane,Frisco,Texas,,,,false,,
zcrm_1781014000169028461,6/27/2022,6/28/2022,61270,10603 Yucca,Austin,Texas,,,,false,,
zcrm_1781014000169024078,6/27/2022,7/22/2022,18867,4619 Aspen View,San Antonio,Texas,,,,false,,
zcrm_1781014000169013373,6/27/2022,7/6/2022,ID:dd404aaf-6347-445d-b65f-4b3deb40067c,2285 Long Island Court 89436,Sparks,Nevada,"Sep 26, 2022",,,false,,
zcrm_1781014000168998340,6/27/2022,7/1/2022,293420,3909 Redbud Dr.,Aubrey,Texas,"Sep 22, 2022",,,false,,
zcrm_1781014000168998174,6/27/2022,6/27/2022,112999,18515 Mabels Island Ct,Humble,Texas,,,,false,,
zcrm_1781014000168973469,6/27/2022,6/27/2022,344087,6616 Plains Crest Drive,Del Valle,Texas,,,,false,,
zcrm_1781014000168962352,6/27/2022,6/27/2022,64456,4103 Mountain VIew,Kingsland,Texas,,,,false,,
zcrm_1781014000168950058,6/27/2022,6/29/2022,98105,414 Rosecliff Drive,Wexford,Pennsylvania,,,,false,,
zcrm_1781014000168948708,6/27/2022,7/8/2022,269,6103 Lake Shore Drive,Lago Vista,Texas,,,,false,,
zcrm_1781014000168939510,6/27/2022,6/27/2022,36298,7706 river pass dr,Pearland,Texas,,,,false,,
zcrm_1781014000168936997,6/27/2022,7/11/2022,158,507 Sabine St #401,Austin,Texas,,,,false,,
zcrm_1781014000168844625,6/27/2022,6/27/2022,129627,2869 FM 2091 N,Gonzales,Texas,,,,false,,
zcrm_1781014000168840634,6/27/2022,6/27/2022,92317,516 Cornerstone Way,East Stroudsburg,Pennsylvania,"Sep 27, 2022",,,false,,
zcrm_1781014000168825438,6/27/2022,6/27/2022,149220,3334 Saltillo Way,San Antonio,Texas,,,,false,,
zcrm_1781014000168811237,6/27/2022,8/9/2022,236832,511 Union Street,Perkasie,Pennsylvania,,,,false,,
zcrm_1781014000168807860,6/27/2022,6/27/2022,5176,6160 Balcony Ln,Dallas,Texas,,,,false,,
zcrm_1781014000168805984,6/27/2022,7/16/2022,156808,18713 Silent Water Way,Pflugerville,Texas,"Sep 27, 2022",,,false,,
zcrm_1781014000168805222,6/27/2022,6/30/2022,89110,1262 S. Albemarle Street,York,Pennsylvania,"Sep 19, 2022",,,true,,
