ï»¿Record Id,Created Time,HSLP ordered at,Platform database ID (Agent),Display name,Property city,State (Agent),Closing date,Property Status,Property Status Updated,Closing Date is Wrong
zcrm_1781014000190671282,9/14/2022,9/14/2022,118932,2640 Hendrix Ave W,Lucas,Texas,,,,false
zcrm_1781014000176890574,7/22/2022,7/23/2022,174527,5004 Southfork Dr,Wichita Falls,Texas,,,,false
zcrm_1781014000176885960,7/22/2022,8/11/2022,ID:dc73eaa4-4e7a-4d14-a4ab-ba4f102a3306,8105 Northwest 130th Place 73142,Oklahoma City,Oklahoma,,,,false
zcrm_1781014000176879338,7/22/2022,7/23/2022,116993,4622 Larner Street,The Colony,Texas,"Sep 21, 2022",,,false
zcrm_1781014000176877849,7/22/2022,7/22/2022,170791,22114 Emerald Run Ln,Richmond,Texas,,,,false
zcrm_1781014000176876819,7/22/2022,7/24/2022,111779,102 Muirfield,Willow Park,Texas,,,,false
zcrm_1781014000176874558,7/22/2022,7/22/2022,293442,3737 Candlestone Dr,San Antonio,Texas,,,,false
zcrm_1781014000176805120,7/22/2022,7/22/2022,20532,1030 Lake Grove Loop,Midlothian,Texas,,,,false
zcrm_1781014000176752718,7/22/2022,7/24/2022,229968,915 Redwood Dr,Richardson,Texas,,,,false
zcrm_1781014000176752554,7/22/2022,7/24/2022,206580,933 N Lawrence St,Philadelphia,Pennsylvania,"Sep 14, 2022",,,false
zcrm_1781014000176743904,7/22/2022,7/25/2022,85857,3839 Terrace St,Philadelphia,Pennsylvania,,,,false
zcrm_1781014000176731811,7/22/2022,7/22/2022,29087,12297 Sitting Bull Dr,El Paso TX,Texas,,,,false
zcrm_1781014000176726172,7/22/2022,7/25/2022,13957,19883 Driver Forest Dr.,Porter,Texas,,,,false
zcrm_1781014000176726039,7/22/2022,7/22/2022,22925,300 Washington Square Drive,Leander,Texas,,,,false
zcrm_1781014000176715121,7/22/2022,7/22/2022,2918,245 Paradise Hills,New Braunfels,Texas,,,,false
zcrm_1781014000176708357,7/22/2022,9/2/2022,5684,4606 Rosedale Avenue,Austin,Texas,,,,false
zcrm_1781014000176708097,7/22/2022,7/22/2022,238757,5109 Azul Lane,Crowley,Texas,"Sep 23, 2022",,,false
zcrm_1781014000176663102,7/22/2022,9/15/2022,331301,523 N Waldrip St,Grand Saline,Texas,"Oct 6, 2022",,,false
