Record Id,Created Time,HSLP ordered at,Platform database ID (Agent),Display name,Property city,State (Agent),Closing date,Property Status,Property Status Updated,Closing Date is Wrong
zcrm_1781014000189606208,9/8/2022 17:03,9/8/2022 17:14,122558,307 US HWY 271,Gilmer,Texas,,,,FALSE
zcrm_1781014000189598623,9/8/2022 17:10,9/8/2022 17:21,305824,9506 Silver Crown,San Antonio,Texas,,,,FALSE
zcrm_1781014000189598429,9/8/2022 16:44,9/8/2022 17:19,33416,15318 Ferness,Channelview,Texas,,,,FALSE
zcrm_1781014000189558838,9/8/2022 15:57,9/8/2022 16:53,59960,18226 Kilmacolm Drive,Richmond,Texas,,,,FALSE
zcrm_1781014000189557374,9/8/2022 14:26,9/8/2022 16:11,283010,8 S 19th St,Temple,Texas,,,,FALSE
zcrm_1781014000189557057,9/8/2022 13:30,9/8/2022 13:52,62743,5221 Clotell Court,Fort Worth,Texas,,,,FALSE
zcrm_1781014000189556728,9/8/2022 15:18,9/8/2022 16:24,93892,75 South Church Street,Carbondale,Pennsylvania,,,,FALSE
zcrm_1781014000189550731,9/8/2022 14:43,9/8/2022 14:52,173564,2660 S FM 513,Campbell,Texas,,,,FALSE
zcrm_1781014000189546692,9/8/2022 14:36,9/8/2022 16:26,40366,6960 Branch Trail,Frisco,Texas,,,,FALSE
zcrm_1781014000189537127,9/8/2022 11:24,9/8/2022 11:24,249078,4085 Bluebird Dr,Waldorf,Maryland,,,,FALSE
zcrm_1781014000189529642,9/8/2022 12:04,9/8/2022 12:29,226242,3311 Carlo Rossi Dr,Fayetteville,North Carolina,,,,FALSE
zcrm_1781014000189529436,9/8/2022 11:32,9/8/2022 15:32,128851,6210 Sanford Rd,Houston,Texas,,,,FALSE
zcrm_1781014000189525635,9/8/2022 11:44,9/8/2022 13:54,123449,24 Valley View Dr,Morrisville,Pennsylvania,,,,FALSE
zcrm_1781014000189525539,9/8/2022 11:32,9/8/2022 11:38,211454,734 Indigo St,San Antonio,Texas,,,,FALSE
zcrm_1781014000189524973,9/8/2022 13:15,9/8/2022 14:07,32414,4610 Oregon Trl.,Amarillo,Texas,,,,FALSE
zcrm_1781014000189397551,9/7/2022 22:37,9/8/2022 5:43,135214,1412 Millican Lane,Aubrey,Texas,,,,FALSE
zcrm_1781014000189393301,9/7/2022 22:18,9/8/2022 15:42,339612,1603 Kohlers Trail,Lakeway,Texas,,,,FALSE
zcrm_1781014000189392532,9/7/2022 22:53,9/7/2022 22:55,342905,1443 scharpe,Houston,Texas,,,,FALSE
