Display name,Property city,State (Agent),Property Status,Property Status Updated,Closing Date is Wrong
3103 Quail Run Dr,Alvin,Texas,,,FALSE
237 Clydesdale Street,Waxahachie,Texas,,,FALSE
2820 Vista View Ln.,Prosper,Texas,,,FALSE
10 Edgewood Ave,Temple,Pennsylvania,,,FALSE
6200 Lantern View Drive,Jonestown,Texas,,,FALSE
190 Chalk Bluff Ct,Driftwood,Texas,,,FALSE
7710 Lower Hill Rd,Westover,Maryland,,,FALSE
8919 Polmont Dr.,Killeen,Texas,,,FALSE
5021 Arrow Ridge,Schertz,Texas,,,FALSE
174 York Timbers Way,Austin,Texas,,,FALSE
DEV = Incididunt earum cum 77344,Do exercitation inci,,,,FALSE
1323 Mary Preiss,New Braunfels,Texas,,,FALSE
65 Goldfinch Circle,Phoenixville,Pennsylvania,,,FALSE
320-322 North Ave,Sanford,North Carolina,,,FALSE
618 FM 145,Farwell,Texas,,,FALSE
2284 Hartfords Bluff Circle,Mt. Pleasant,South Carolina,,,FALSE
12015 Casa Bonita St,San Antonio,Texas,,,FALSE
West Avenue J 10 93534,Lancaster,California,,,FALSE
4624 Moss Rose Dr,Fort Worth,Texas,,,FALSE
1705 Chesterfield Dr,Carrollton,Texas,,,FALSE
11239 Ginger Hazel,San Antonio,Texas,,,FALSE
14343 Judson Rd #803,San Antonio,Texas,,,FALSE
6501 Brisk Wind Dr,Corpus Christi,Texas,,,FALSE
3001 Huntington Ct,Katy,Texas,,,FALSE
6613 Autumn Mist Cove,Little Elm,Texas,,,FALSE
630 Villa Creek Drive,Duncanville,Texas,,,FALSE
210 N. Mosley,Longview,Texas,,,FALSE
344 Los Cobos LN,Georgetown,Texas,,,FALSE
1511 parker,Odessa,Texas,,,FALSE
6110 COPPER SKY,MIDLAND,Texas,,,FALSE
7420 93rd St.,Lubbock,Texas,,,FALSE
167 Silva Creek Trail,Willis,Texas,,,FALSE
9426 Emerald Green Dr,Rosharon,Texas,,,FALSE
109 SE 5th,Andrews,Texas,,,FALSE
825 Green Meadow,Harker Heights,Texas,,,FALSE
738 Laramie Dr,Lewisville,Texas,,,FALSE
12510 Sir Christopher's Cove,Austin,Texas,,,FALSE
1365 W Groesbeck,Stephenville,Texas,,,FALSE
1607 Foxfire Drive,College Station,Texas,,,FALSE
7905 Vienna Drive,Plano,Texas,,,FALSE
4364 Legends Bay Dr,Baytown,Texas,,,FALSE
602 Lafayette Square Dr.,Leander,Texas,,,FALSE
2018 Gibralter Dr,Pittsburgh,Pennsylvania,,,FALSE
5604 Overton Drive,Parker,Texas,,,FALSE
168 Spyglass Park Lane,Montgomery,Texas,,,FALSE
339 Cardinal Creek,Duncanville,Texas,,,FALSE
2511 Legacy Oaks Ct.,Midland,Texas,,,FALSE
3654 Pinot Grigio Drive 89509,Reno,Nevada,,,FALSE
4402 Harvest Colony Trail,Porter,Texas,,,FALSE
43 Hallmark Dr,Conroe,Texas,,,FALSE
