Record Id,Created Time,HSLP ordered at,Platform database ID (Agent),Display name,Property city,State (Agent),Closing date,Property Status,Property Status Updated,Closing Date is Wrong
zcrm_1781014000191093541,9/15/2022,9/15/2022,328515,1904 Shady Lane,Narvon,Pennsylvania,,,,false
zcrm_1781014000191081014,9/15/2022,9/15/2022,156790,4607 norris valley,fort worth,Texas,,,,false
zcrm_1781014000191072234,9/15/2022,9/15/2022,58470,7500 Weatherby Rd.,Burleson,Texas,,,,false
zcrm_1781014000191071049,9/15/2022,9/15/2022,4074,818 LaRue Drive,Cedar Hill,Texas,,,,false
zcrm_1781014000191068621,9/15/2022,9/15/2022,65198,3724 Kirkgate Trl,Pflugerville,Texas,,,,false
zcrm_1781014000191068203,9/15/2022,9/15/2022,18152,37435 High Meadow Dr.,Magnolia,Texas,,,,false
zcrm_1781014000190971116,9/15/2022,9/15/2022,332801,113 Nyler Ct.,Moncks Corner,South Carolina,,,,false
zcrm_1781014000190930163,9/15/2022,9/15/2022,154320,1410 Brush Street,Bridgeport,Texas,,,,false
zcrm_1781014000190927207,9/14/2022,9/14/2022,367859,265 Chubbic Road,Canonsburg,Pennsylvania,,,,false
zcrm_1781014000190926595,9/15/2022,9/15/2022,113184,4022 Elm Crest Trail,Houston,Texas,,,,false
zcrm_1781014000190922601,9/15/2022,9/15/2022,270815,1406 Shamitas Ct,Leander,Texas,,,,false
zcrm_1781014000190921500,9/14/2022,9/14/2022,169495,240 Ridgecrest,Abilene,Texas,,,,false
zcrm_1781014000190918489,9/14/2022,9/15/2022,111949,9304 Cricket Drive,Killeen,Texas,,,,false
zcrm_1781014000190916654,9/14/2022,9/14/2022,350288,13827 Owl Tree St.,San Antonio,Texas,,,,false
zcrm_1781014000190903253,9/14/2022,9/14/2022,253569,5503 Sunfall Bend lane,Katy,Texas,,,,false
zcrm_1781014000190895885,9/14/2022,9/14/2022,4529,7104 Wessex Court,McKinney,Texas,,,,false
zcrm_1781014000190888280,9/14/2022,9/15/2022,28546,145 Wind Flower,Liberty Hill,Texas,,,,false
zcrm_1781014000190888194,9/14/2022,9/14/2022,285103,1207 Donald Dr,Longview,Texas,,,,false
zcrm_1781014000190888185,9/14/2022,9/14/2022,67823,24414 Eagle Haven Dr.,Katy,Texas,,,,false
zcrm_1781014000190887241,9/14/2022,9/15/2022,64902,3107 Rampart,Killeen,Texas,,,,false
zcrm_1781014000190862477,9/14/2022,9/15/2022,66064,6508 Delmonico Drive,Austin,Texas,,,,false
zcrm_1781014000190861213,9/14/2022,9/14/2022,12755,4114 San Augustine Ave,Pasadena,Texas,"Sep 15, 2022",,,false
zcrm_1781014000190860615,9/14/2022,9/15/2022,118733,8525 Stallion Street,Denton,Texas,,,,false
zcrm_1781014000190858090,9/14/2022,9/14/2022,211757,203 Journey Dr,Effort,Pennsylvania,,,,false
zcrm_1781014000190857197,9/14/2022,9/15/2022,34856,4501 Redbud Dr,Denton,Texas,,,,false
zcrm_1781014000190845707,9/14/2022,9/14/2022,165163,225 E Circle Dr.,Midland,Texas,,,,false
zcrm_1781014000190844333,9/14/2022,9/14/2022,201881,10304 Free Range Trail,Manor,Texas,,,,false
zcrm_1781014000190842656,9/14/2022,9/15/2022,18867,467 Homecrest Drive,La Vernia,Texas,,,,false
zcrm_1781014000190837909,9/14/2022,9/14/2022,145035,216 McKinley Ln,Longview,Texas,,,,false
zcrm_1781014000190837555,9/14/2022,9/14/2022,6638,2105 Helmsford Drive,Flower Mound,Texas,,,,false
zcrm_1781014000190836973,9/14/2022,9/14/2022,154887,3617 Sugar Tree Place,Durham,North Carolina,,,,false
zcrm_1781014000190836337,9/14/2022,9/14/2022,20632,1906 VZ County Road 2901,Eustace,Texas,,,,false
zcrm_1781014000190835126,9/14/2022,9/14/2022,369855,432 S PEACH AVE.,TYLER,Texas,,,,false
zcrm_1781014000190835079,9/14/2022,9/14/2022,97797,1504 S 12th Street,Harrisburg,Pennsylvania,,,,false
zcrm_1781014000190834571,9/14/2022,9/15/2022,864,3605 Eagle Fledge Terace,Pflugerville,Texas,,,,false
zcrm_1781014000190830686,9/14/2022,9/14/2022,8915,412 Borders Court,Southlake,Texas,,,,false
zcrm_1781014000190775004,9/14/2022,9/14/2022,1220,3516 W. Michigan Ave,Midland,Texas,,,,false
zcrm_1781014000190747948,9/14/2022,9/14/2022,366919,2836 Sendero,Grand Prairie,Texas,,,,false
