Record Id,Created Time,HSLP ordered at,Platform database ID (Agent),Display name,Property city,State (Agent),Closing date,Property Status,Property Status Updated,Closing Date is Wrong,,
zcrm_1781014000169319966,6/29/2022,7/25/2022,164946,709 Buttermilk Dr,Arlington,Texas,"Sep 8, 2022",,,false,,
zcrm_1781014000169225522,6/28/2022,7/5/2022,5719,7504 Elderberry drive,austin,Texas,,,,false,,
zcrm_1781014000169219600,6/28/2022,6/30/2022,52855,30077 Walden Farms Lane,Brookshire,Texas,,,,false,,
zcrm_1781014000169215764,6/28/2022,6/28/2022,83033,447 Cherry St,Columbia,Pennsylvania,,,,false,,
zcrm_1781014000169206751,6/28/2022,6/28/2022,164842,13103 Broughton Way,Austin,Texas,,,,false,,
zcrm_1781014000169204844,6/28/2022,6/28/2022,344087,10212 west rutland village,Austin,Texas,,,,false,,
zcrm_1781014000169203609,6/28/2022,8/31/2022,220572,301 W Shands St,Forney,Texas,,,,false,,
zcrm_1781014000169189944,6/28/2022,6/28/2022,150221,2071 Mustang Trail,Frisco,Texas,,,,false,,
zcrm_1781014000169189800,6/28/2022,6/28/2022,101189,4707 Place One Dr,Garland,Texas,"Sep 30, 2022",,,false,,
zcrm_1781014000169189661,6/28/2022,6/28/2022,75903,1110 Vanderbuilt Cir,Pflugerville,Texas,,,,false,,
zcrm_1781014000169186874,6/28/2022,7/10/2022,186965,302 Rosalie Dr,New Braunfels,Texas,"Sep 16, 2022",,,false,,
zcrm_1781014000169184936,6/28/2022,7/1/2022,48631,5703 Devonwood St,Schertz,Texas,,,,false,,
zcrm_1781014000169184172,6/28/2022,6/28/2022,344787,576 Piney Groves School Rd,Marshall,Texas,,,,false,,
zcrm_1781014000169183872,6/28/2022,6/29/2022,171259,5836 Coppermill Rd,Fort Worth,Texas,,,,false,,
zcrm_1781014000169183738,6/28/2022,6/28/2022,113055,822 W Cypress,San Antonio,Texas,,,,false,,
zcrm_1781014000169180630,6/28/2022,6/28/2022,21721,1111 W 12th St #117,Austin,Texas,,,,false,,
zcrm_1781014000169177220,6/28/2022,6/28/2022,22093,236 Raptor Beak Way,Cedar Creek,Texas,,,,false,,
